"","Site","Diversity","Observed","Estimator","s.e.","LCL","UCL"
"1","A","Species richness",20,25.25,5.281,21.02,47.031
"2","A","Shannon diversity",15.731,18.296,1.778,15.731,21.78
"3","A","Simpson diversity",13.563,14.664,1.269,13.563,17.151
"4","B","Species richness",35,42.824,5.785,37.145,63.545
"5","B","Shannon diversity",29.209,35.976,3.07,29.96,41.992
"6","B","Simpson diversity",25.2,29.81,2.328,25.247,34.372
"7","C","Species richness",38,53.429,9.735,42.961,85.985
"8","C","Shannon diversity",28.632,36.817,3.071,30.798,42.836
"9","C","Simpson diversity",22.848,25.657,2.243,22.848,30.054
"10","D","Species richness",37,46.054,6.672,39.49,69.92
"11","D","Shannon diversity",29.155,34.488,2.444,29.697,39.278
"12","D","Simpson diversity",24.598,27.122,1.61,24.598,30.278
"13","E","Species richness",59,100.186,20.729,75.228,163.524
"14","E","Shannon diversity",47.783,70.312,7.112,56.372,84.252
"15","E","Simpson diversity",39.252,49.531,3.937,41.814,57.247
"16","F","Species richness",41,55.065,8.585,45.668,83.377
"17","F","Shannon diversity",32.354,42.438,4.086,34.429,50.447
"18","F","Simpson diversity",26.289,31.218,2.47,26.376,36.06
"19","G","Species richness",44,56.19,8.115,47.719,83.954
"20","G","Shannon diversity",35.706,43.659,2.898,37.979,49.339
"21","G","Simpson diversity",30.353,34.973,2.508,30.353,39.888
"22","H","Species richness",41,62,12.41,48.184,102.385
"23","H","Shannon diversity",32.145,44.547,4.806,35.127,53.967
"24","H","Simpson diversity",25.801,30.937,3.035,25.801,36.886
"25","I","Species richness",62,97.065,17.629,75.829,150.909
"26","I","Shannon diversity",49.906,68.305,5.113,58.284,78.327
"27","I","Simpson diversity",41.855,50.802,4.093,42.78,58.823
"28","J","Species richness",42,59.143,10.262,47.795,92.716
"29","J","Shannon diversity",34.107,46.358,4.42,37.695,55.021
"30","J","Simpson diversity",28.322,35.172,2.958,29.375,40.969
"31","K","Species richness",42,51.643,6.613,44.856,74.562
"32","K","Shannon diversity",33.621,40.064,2.67,34.831,45.296
"33","K","Simpson diversity",28.724,32.325,2.116,28.724,36.471
"34","L","Species richness",16,25.143,8.877,17.851,61.158
"35","L","Shannon diversity",12.45,16.982,2.671,12.45,22.218
"36","L","Simpson diversity",10.141,11.793,1.928,10.141,15.572
"37","M","Species richness",67,114.535,21.911,87.109,179.366
"38","M","Shannon diversity",51.911,74.098,6.191,61.964,86.233
"39","M","Simpson diversity",41.799,48.77,3.573,41.799,55.773
"40","N","Species richness",80,110.964,14.272,93.1,153.191
"41","N","Shannon diversity",61.028,75.845,4.228,67.559,84.131
"42","N","Simpson diversity",49.816,55.235,2.781,49.816,60.686
