"","Curculionidae","Attelabidae","Anthribidae","Chrysomelidae","Buprestidae","Cerambycidae","Cleridae","Bostrichidae","Elateridae","Scarabaeidae","Melyridae","Nitidulidae","Salpingidae","Lathridiidae","Silvanidae","Mordellidae","Carabidae","Zopheridae","Anthicidae","Scydmaenidae","Corylophidae","Laemophloeidae","Phalacridae","Ptiliidae","Coccinellidae","Tenebrionidae","Lycidae","Cantharidae","Biphyllidae","Endomychidae","Mycetophagidae","Cryptophagidae","Meloidae","Scraptidae","Scirtidae","Ptinidae","Ciidae","Birrhidae","Formicidae","Alydidae","Anthocoridae","Aphrophoridae","Aradidae","Cixiidae","Cercopidae","Cicadellidae","Tettigometridae","Coreidae","Delphacidae","Derbidae","Dictyopharidae","Flatidae","Lygaeidae","Membracidae","Miridae","Piesmatidae","Psillidae","Pentatomidae","Reduviidae","Tingidae"
"KZN1",3,1,0,4,0,0,0,0,0,0,0,1,0,2,0,0,0,0,2,0,2,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,9,0,1,1,0,0,0,2,1,4,0,1,3,2,1
"KZN2",3,1,0,14,1,0,0,0,0,0,0,1,1,2,1,2,1,0,2,1,0,1,2,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,10,0,0,0,0,0,0,1,1,5,0,0,1,1,1
"KZN3",7,1,2,18,1,1,0,1,0,0,4,1,1,1,0,2,3,0,0,0,1,1,2,1,2,3,0,0,0,0,0,0,0,1,0,0,0,0,7,0,1,0,1,0,1,12,0,0,2,1,0,0,2,1,2,0,2,0,0,1
"KZN4",2,1,0,20,1,2,0,0,0,1,1,0,0,2,1,2,3,0,0,0,1,0,2,0,7,3,0,1,0,2,0,0,0,0,0,1,1,0,2,1,1,0,0,0,0,11,0,0,1,0,0,0,1,1,5,0,2,2,1,1
"KZN5",6,1,0,6,1,1,0,0,0,1,0,1,0,1,1,1,0,0,1,0,2,0,3,1,5,2,0,0,0,1,0,1,0,0,1,0,0,0,7,1,1,1,0,0,0,12,0,0,2,0,0,0,3,1,5,0,2,2,2,1
"KZN6",4,1,2,23,1,1,0,1,0,0,5,0,1,0,0,4,1,2,0,1,0,1,2,1,8,2,0,0,0,0,0,0,0,0,0,0,1,0,6,0,1,1,0,0,1,11,1,0,2,1,0,0,2,1,5,0,3,0,0,1
"KZN7",10,1,0,12,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,0,12,0,0,1,1,0,1,2,1,5,0,3,2,0,1
"MP1",7,1,0,16,1,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,1,1,2,1,5,1,0,1,0,0,0,1,0,1,0,0,0,0,2,1,1,0,0,0,0,11,0,1,0,0,0,0,1,1,5,0,3,2,1,1
"MP2",8,1,1,12,1,0,0,1,0,2,3,1,0,2,0,2,3,0,1,0,2,1,2,0,5,0,0,1,0,0,0,1,0,1,0,0,0,0,4,1,1,0,0,0,0,9,0,0,0,0,0,0,2,1,6,0,3,5,2,2
"MP3",8,1,1,17,2,2,1,0,1,1,2,1,0,1,0,3,2,1,0,0,1,1,2,1,4,0,0,1,0,0,0,0,0,1,0,0,0,0,7,0,1,0,0,0,2,14,0,0,0,0,0,0,0,1,4,0,3,0,0,0
"MP4",2,1,0,24,2,0,0,0,0,3,3,1,0,1,0,5,4,0,0,0,1,1,3,0,7,0,1,0,0,0,0,0,0,1,1,0,0,0,3,1,2,1,0,1,1,12,0,0,0,0,0,0,2,1,7,0,3,2,0,2
"MP5",7,1,0,17,0,0,0,1,2,1,3,1,0,1,0,3,1,0,0,0,0,1,2,0,4,0,0,0,0,0,0,1,1,1,0,0,0,0,10,1,1,1,0,0,2,9,0,1,0,0,0,0,1,1,5,0,3,3,3,1
"MP6",3,1,0,12,0,0,0,0,0,0,2,0,0,1,0,3,2,0,1,0,0,1,1,0,5,0,0,0,0,0,0,0,0,1,0,0,0,2,6,1,1,0,0,0,1,9,0,0,0,0,0,0,1,1,6,0,3,0,2,0
"MP7",4,1,0,8,1,0,0,0,0,2,1,0,0,3,0,2,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,7,0,0,0,0,0,0,1,1,3,1,2,0,0,1
